Marca;Nombre;Precio_Actual;Precio_Antiguo;Descuento;Valoracion
HUAWEI;"
			Portátil - Huawei MateBook D14, 14"" FHD, AMD Ryzen™ 5 3500U, 8GB, 512 SSD, Radeon™ Vega 8, FDOS + Free Buds 3";749,-;Sin descuento;Sin descuento;['value-5']
LENOVO;"
			Portátil - Lenovo S540-15IWL, 15.6"" Full HD, Intel® Core™ i3-8145U , 8 GB, 512 GB SSD, W10 Home, Negro";579,-;"


		701,-";"
		Te ahorras: € 122,00";No Valorado
LENOVO;"
			Portátil - Lenovo S145-15IWL, 15.6"" HD, Intel Core i3-8145U, 8 GB, 256GB SSD, Graphics 620, FreeDOS, Gris";399,-;"


		429,-";"
		Te ahorras: € 30,00";No Valorado
ASUS;"
			Portátil gaming - ASUS TUF FX505DV-AL014, 15.6"", FHD, AMD® Ryzen™ 7 3750H, 16GB, 512GB SSD, RTX2060, FreeDOS";979,-;"


		1199,-";"
		Te ahorras: € 220,00";No Valorado
ACER;"
			Ordenador portátil - Acer A315-54K-36P4, 15.6"", Intel® Core™ i3-7020U, 8 GB RAM, 128 GB SSD, W10";429,-;"


		474,-";"
		Te ahorras: € 45,00";No Valorado
MICROSOFT;"
			Convertible 2 en 1 - Microsoft Surface Pro 6, 12.3"", Intel® Core™ i5-8250U, 8 GB RAM, 256 GB SSD";899,-;"


		999,-";"
		Te ahorras: € 100,00";['value-4']
HP;"
			Portátil - HP 15-db1005ns, 15.6"" HD, AMD Ryzen™ 5 3500U, 8 GB RAM, 256 GB, W10, Azul y plata";529,-;Sin descuento;Sin descuento;['value-4']
HP;"
			Portátil - HP 15-DB1001NS, 15.6"" HD, AMD Ryzen™ 3 3200U, 8 GB RAM, 256 GB, W10, Negro + Arranque Optimizado";428,-;"


		470,-";"
		Te ahorras: € 42,00";No Valorado
ACER;"
			Portátil gaming - Acer Nitro 5, 15.6"" Full-HD, Intel® Core™ i7-9750H, 8 GB, 512 SSD, GTX1050, W10, Negro";899,-;"


		972,-";"
		Te ahorras: € 73,00";No Valorado
LENOVO;"
			Portátil - Lenovo S340-14IIL, 14 "" Full-HD, Intel® Core™ i5-1035G1, 8 GB, 512GB SSD, Windows 10 Home, Gris";625,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP Pavilion 14-ce3012ns, 14"" FHD, Intel® Core™ i7-1065G7, 16GB RAM, 512GB SSD, MX250, W10, Plata";999,-;"


		1099,-";"
		Te ahorras: € 100,00";No Valorado
HUAWEI;"
			Portátil - Huawei Matebook D15, 15.6"" FHD, AMD Ryzen™ 5 3500U, 8 GB, 256GB SSD, AMD Radeon™ Vega 8+Free Buds 3";699,-;Sin descuento;Sin descuento;No Valorado
MSI;"
			Portátil gaming - MSI GF63 Thin 9SC-042ES, 15.6"", Intel® Core™ i7-9750H, 16 GB, 256GB SSD+1TB, W10";1155,-;"


		1249,-";"
		Te ahorras: € 94,00";No Valorado
HP;"
			Portátil - HP Pavilion 15-CS3001NS, 15.6"" Full HD, Intel® Core™ i7-1065G7, 16GB, 1TB SSD, GTX 1050 Max-Q, W10";1149,-;Sin descuento;Sin descuento;No Valorado
